ST,0+3+4+5+6+7+8+9+33+34+35+41
ST084195,5
ST084196,5
ST084197,5
ST084198,5
ST084199,5
ST085190,3+5
ST085191,3+5
ST085192,5
ST085193,5
ST085194,5
ST085195,5
ST085196,5
ST085197,5
ST085198,5
ST085199,5
ST086190,3+5
ST086191,5
ST086192,5
ST086193,5
ST086194,5
ST086195,5
ST086196,5
ST086197,5
ST086198,5
ST086199,5
ST087190,5
ST087191,5
ST087192,5
ST087193,5
ST087194,5
ST087195,5
ST087196,5
ST087197,5
ST087198,5
ST087199,5
ST088190,5
ST088191,5
ST088192,5
ST088193,5
ST088194,5
ST088195,5
ST088196,5
ST088197,5
ST088198,5
ST088199,5
ST089190,5
ST089191,5
ST089192,5
ST089193,5
ST089194,5
ST089195,5
ST089196,5
ST089197,5
ST089198,5
ST089199,5
ST0918,3+5
ST090180,3
ST090181,3
ST090182,3+5
ST090183,3+5
ST090184,5
ST090185,5
ST090186,5
ST090187,5
ST090188,5
ST090189,5
ST091180,3
ST091181,3+5
ST091182,3+5
ST091183,5
ST091184,5
ST091185,5
ST091186,5
ST091187,5
ST091188,5
ST091189,5
ST092180,3+5
ST092181,3+5
ST092182,5
ST092183,5
ST092184,5
ST092185,5
ST092186,5
ST092187,5
ST092188,5
ST092189,5
ST093180,3+5
ST093181,5
ST093182,5
ST093183,5
ST093184,5
ST093185,5
ST093186,5
ST093187,5
ST093188,5
ST093189,5
ST094180,3+5
ST094181,5
ST094182,5
ST094183,5
ST094184,5
ST094185,5
ST094186,5
ST094187,5
ST094188,5
ST094189,5
ST095180,3+5
ST095181,5
ST095182,5
ST095183,5
ST095184,5
ST095185,5
ST095186,5
ST095187,5
ST095188,5
ST095189,5
ST096180,3+5
ST096181,5
ST096182,5
ST096183,5
ST096184,5
ST096185,5
ST096186,5
ST096187,5
ST096188,5
ST096189,5
ST097180,5
ST097181,5
ST097182,5
ST097183,5
ST097184,5
ST097185,5
ST097186,5
ST097187,5
ST097188,5
ST097189,5
ST098180,5
ST098181,5
ST098182,5
ST098183,5
ST098184,5
ST098185,5
ST098186,5
ST098187,5
ST098188,5
ST098189,5
ST099180,5
ST099181,5
ST099182,5
ST099183,5
ST099184,5
ST099185,5
ST099186,5
ST099187,5
ST099188,5
ST099189,5
ST0919,5
ST02,4+5
ST02SW,4+5
ST02NW,4+5
ST02SE,4+5
ST02NE,5
ST02A,4
ST02B,4
ST02C,4+5
ST0024,4
ST0025,4+5
ST000250,4
ST000251,4
ST000252,4
ST000253,4
ST000254,4
ST000255,4
ST000256,4
ST000257,4
ST000258,4
ST000259,4
ST001250,4
ST001251,4
ST001252,4
ST001253,4
ST001254,4
ST001255,4
ST001256,4
ST001257,4
ST001258,4
ST001259,4
ST002250,4
ST002251,4
ST002252,4
ST002253,4
ST002254,4
ST002255,4
ST002256,4
ST002257,4
ST002258,4
ST002259,4
ST003250,4
ST003251,4
ST003252,4
ST003253,4
ST003254,4
ST003255,4
ST003256,4
ST003257,4
ST003258,4
ST003259,4
ST004250,4
ST004251,4
ST004252,4
ST004253,4
ST004254,4
ST004255,4
ST004256,4
ST004257,4
ST004258,4
ST004259,4
ST005250,4
ST005251,4
ST005252,4
ST005253,4
ST005254,4
ST005255,4
ST005256,4
ST005257,4
ST005258,4
ST005259,4
ST006250,4
ST006251,4
ST006252,4
ST006253,4
ST006254,4
ST006255,4
ST006256,4
ST006257,4
ST006258,4
ST006259,4
ST007250,4
ST007251,4
ST007252,4
ST007253,4
ST007254,4
ST007255,4
ST007256,4
ST007257,4
ST007258,4+5
ST007259,4+5
ST008250,4
ST008251,4
ST008252,4
ST008253,4
ST008254,4
ST008255,4
ST008256,4
ST008257,4+5
ST008258,4+5
ST008259,5
ST009250,4
ST009251,4
ST009252,4
ST009253,4
ST009254,4+5
ST009255,4+5
ST009256,4+5
ST009257,4+5
ST009258,5
ST009259,5
ST0124,4
ST0125,4+5
ST010250,4
ST010251,4
ST010252,4
ST010253,4
ST010254,4+5
ST010255,5
ST010256,5
ST010257,5
ST010258,5
ST010259,5
ST011250,4
ST011251,4
ST011252,4
ST011253,4
ST011254,4+5
ST011255,5
ST011256,5
ST011257,5
ST011258,5
ST011259,5
ST012250,4
ST012251,4
ST012252,4
ST012253,4
ST012254,4+5
ST012255,5
ST012256,5
ST012257,5
ST012258,5
ST012259,5
ST013250,4
ST013251,4
ST013252,4
ST013253,4
ST013254,4+5
ST013255,5
ST013256,5
ST013257,5
ST013258,5
ST013259,5
ST014250,4
ST014251,4
ST014252,4
ST014253,4
ST014254,4+5
ST014255,5
ST014256,5
ST014257,5
ST014258,5
ST014259,5
ST015250,4
ST015251,4
ST015252,4
ST015253,4
ST015254,4+5
ST015255,5
ST015256,5
ST015257,5
ST015258,5
ST015259,5
ST016250,4
ST016251,4
ST016252,4
ST016253,4
ST016254,4+5
ST016255,5
ST016256,5
ST016257,5
ST016258,5
ST016259,5
ST017250,4
ST017251,4
ST017252,4
ST017253,4
ST017254,4+5
ST017255,5
ST017256,5
ST017257,5
ST017258,5
ST017259,5
ST018250,4
ST018251,4
ST018252,4
ST018253,4
ST018254,4+5
ST018255,5
ST018256,5
ST018257,5
ST018258,5
ST018259,5
ST019250,4
ST019251,4
ST019252,4
ST019253,4
ST019254,4+5
ST019255,5
ST019256,5
ST019257,5
ST019258,5
ST019259,5
ST02D,4+5
ST0026,4+5
ST000260,4
ST000261,4
ST000262,4
ST000263,4
ST000264,4
ST000265,4
ST000266,4
ST000267,4+5
ST000268,5
ST000269,5
ST001260,4
ST001261,4
ST001262,4
ST001263,4
ST001264,4
ST001265,4
ST001266,4
ST001267,4+5
ST001268,5
ST001269,5
ST002260,4
ST002261,4
ST002262,4
ST002263,4
ST002264,4
ST002265,4
ST002266,4+5
ST002267,4+5
ST002268,5
ST002269,5
ST003260,4
ST003261,4
ST003262,4
ST003263,4
ST003264,4
ST003265,4
ST003266,4+5
ST003267,4+5
ST003268,5
ST003269,5
ST004260,4
ST004261,4
ST004262,4
ST004263,4
ST004264,4
ST004265,4
ST004266,4+5
ST004267,5
ST004268,5
ST004269,5
ST005260,4
ST005261,4
ST005262,4
ST005263,4
ST005264,4
ST005265,4+5
ST005266,4+5
ST005267,5
ST005268,5
ST005269,5
ST006260,4
ST006261,4
ST006262,4
ST006263,4
ST006264,4+5
ST006265,4+5
ST006266,5
ST006267,5
ST006268,5
ST006269,5
ST007260,4+5
ST007261,4
ST007262,4
ST007263,4+5
ST007264,4+5
ST007265,5
ST007266,5
ST007267,5
ST007268,5
ST007269,5
ST008260,4+5
ST008261,4+5
ST008262,4+5
ST008263,4+5
ST008264,5
ST008265,5
ST008266,5
ST008267,5
ST008268,5
ST008269,5
ST009260,5
ST009261,5
ST009262,5
ST009263,5
ST009264,5
ST009265,5
ST009266,5
ST009267,5
ST009268,5
ST009269,5
ST0027,5
ST0126,5
ST0127,5
ST02E,5
ST02F,4+5
ST0220,4
ST0221,4
ST0320,4+5
ST030200,4
ST030201,4
ST030202,4
ST030203,4
ST030204,4
ST030205,4
ST030206,4
ST030207,4
ST030208,4
ST030209,4
ST031200,4
ST031201,4
ST031202,4
ST031203,4
ST031204,4
ST031205,4
ST031206,4
ST031207,4
ST031208,4
ST031209,4
ST032200,4
ST032201,4
ST032202,4
ST032203,4
ST032204,4
ST032205,4
ST032206,4
ST032207,4
ST032208,4+5
ST032209,4+5
ST033200,4
ST033201,4
ST033202,4
ST033203,4
ST033204,4
ST033205,4
ST033206,4+5
ST033207,4+5
ST033208,4+5
ST033209,5
ST034200,4
ST034201,4
ST034202,4
ST034203,4
ST034204,4
ST034205,4
ST034206,4+5
ST034207,5
ST034208,5
ST034209,5
ST035200,4
ST035201,4
ST035202,4
ST035203,4
ST035204,4
ST035205,4
ST035206,4+5
ST035207,5
ST035208,5
ST035209,5
ST036200,4
ST036201,4
ST036202,4
ST036203,4
ST036204,4
ST036205,4
ST036206,4+5
ST036207,5
ST036208,5
ST036209,5
ST037200,4
ST037201,4
ST037202,4
ST037203,4
ST037204,4
ST037205,4
ST037206,4+5
ST037207,4+5
ST037208,5
ST037209,5
ST038200,4
ST038201,4
ST038202,4
ST038203,4
ST038204,4
ST038205,4
ST038206,4
ST038207,4+5
ST038208,5
ST038209,5
ST039200,4
ST039201,4
ST039202,4
ST039203,4
ST039204,4
ST039205,4
ST039206,4
ST039207,4+5
ST039208,4+5
ST039209,5
ST0321,4+5
ST030210,4
ST030211,4
ST030212,4
ST030213,4
ST030214,4
ST030215,4
ST030216,4
ST030217,4
ST030218,4+5
ST030219,4+5
ST031210,4
ST031211,4
ST031212,4+5
ST031213,4+5
ST031214,4+5
ST031215,4+5
ST031216,4+5
ST031217,4+5
ST031218,4+5
ST031219,5
ST032210,4+5
ST032211,4+5
ST032212,4+5
ST032213,5
ST032214,5
ST032215,5
ST032216,5
ST032217,5
ST032218,5
ST032219,5
ST033210,5
ST033211,5
ST033212,5
ST033213,5
ST033214,5
ST033215,5
ST033216,5
ST033217,5
ST033218,5
ST033219,5
ST034210,5
ST034211,5
ST034212,5
ST034213,5
ST034214,5
ST034215,5
ST034216,5
ST034217,5
ST034218,5
ST034219,5
ST035210,5
ST035211,5
ST035212,5
ST035213,5
ST035214,5
ST035215,5
ST035216,5
ST035217,5
ST035218,5
ST035219,5
ST036210,5
ST036211,5
ST036212,5
ST036213,5
ST036214,5
ST036215,5
ST036216,5
ST036217,5
ST036218,5
ST036219,5
ST037210,5
ST037211,5
ST037212,5
ST037213,5
ST037214,5
ST037215,5
ST037216,5
ST037217,5
ST037218,5
ST037219,5
ST038210,5
ST038211,5
ST038212,5
ST038213,5
ST038214,5
ST038215,5
ST038216,5
ST038217,5
ST038218,5
ST038219,5
ST039210,5
ST039211,5
ST039212,5
ST039213,5
ST039214,5
ST039215,5
ST039216,5
ST039217,5
ST039218,5
ST039219,5
ST02G,4+5
ST0222,4
ST0223,4
ST0322,4+5
ST030220,4+5
ST030221,4+5
ST030222,4+5
ST030223,4+5
ST030224,4+5
ST030225,4+5
ST030226,4+5
ST030227,4+5
ST030228,4
ST030229,4
ST031220,5
ST031221,5
ST031222,5
ST031223,5
ST031224,5
ST031225,5
ST031226,5
ST031227,4+5
ST031228,4+5
ST031229,4+5
ST032220,5
ST032221,5
ST032222,5
ST032223,5
ST032224,5
ST032225,5
ST032226,5
ST032227,5
ST032228,5
ST032229,5
ST033220,5
ST033221,5
ST033222,5
ST033223,5
ST033224,5
ST033225,5
ST033226,5
ST033227,5
ST033228,5
ST033229,5
ST034220,5
ST034221,5
ST034222,5
ST034223,5
ST034224,5
ST034225,5
ST034226,5
ST034227,5
ST034228,5
ST034229,5
ST035220,5
ST035221,5
ST035222,5
ST035223,5
ST035224,5
ST035225,5
ST035226,5
ST035227,5
ST035228,5
ST035229,5
ST036220,5
ST036221,5
ST036222,5
ST036223,5
ST036224,5
ST036225,5
ST036226,5
ST036227,5
ST036228,5
ST036229,5
ST037220,5
ST037221,5
ST037222,5
ST037223,5
ST037224,5
ST037225,5
ST037226,5
ST037227,5
ST037228,5
ST037229,5
ST038220,5
ST038221,5
ST038222,5
ST038223,5
ST038224,5
ST038225,5
ST038226,5
ST038227,5
ST038228,5
ST038229,5
ST039220,5
ST039221,5
ST039222,5
ST039223,5
ST039224,5
ST039225,5
ST039226,5
ST039227,5
ST039228,5
ST039229,5
ST0323,4+5
ST030230,4
ST030231,4
ST030232,4
ST030233,4
ST030234,4
ST030235,4
ST030236,4
ST030237,4
ST030238,4
ST030239,4
ST031230,4+5
ST031231,4+5
ST031232,4+5
ST031233,4+5
ST031234,4+5
ST031235,4+5
ST031236,4+5
ST031237,4+5
ST031238,4+5
ST031239,4
ST032230,5
ST032231,5
ST032232,5
ST032233,5
ST032234,5
ST032235,5
ST032236,5
ST032237,5
ST032238,4+5
ST032239,4+5
ST033230,5
ST033231,5
ST033232,5
ST033233,5
ST033234,5
ST033235,5
ST033236,5
ST033237,5
ST033238,5
ST033239,5
ST034230,5
ST034231,5
ST034232,5
ST034233,5
ST034234,5
ST034235,5
ST034236,5
ST034237,5
ST034238,5
ST034239,5
ST035230,5
ST035231,5
ST035232,5
ST035233,5
ST035234,5
ST035235,5
ST035236,5
ST035237,5
ST035238,5
ST035239,5
ST036230,5
ST036231,5
ST036232,5
ST036233,5
ST036234,5
ST036235,5
ST036236,5
ST036237,5
ST036238,5
ST036239,5
ST037230,5
ST037231,5
ST037232,5
ST037233,5
ST037234,5
ST037235,5
ST037236,5
ST037237,5
ST037238,5
ST037239,5
ST038230,5
ST038231,5
ST038232,5
ST038233,5
ST038234,5
ST038235,5
ST038236,5
ST038237,5
ST038238,5
ST038239,5
ST039230,5
ST039231,5
ST039232,5
ST039233,5
ST039234,5
ST039235,5
ST039236,5
ST039237,5
ST039238,5
ST039239,5
ST02H,4+5
ST0224,4
ST0225,4+5
ST020250,4
ST020251,4
ST020252,4
ST020253,4
ST020254,4+5
ST020255,5
ST020256,5
ST020257,5
ST020258,5
ST020259,5
ST021250,4
ST021251,4
ST021252,4
ST021253,4
ST021254,4+5
ST021255,5
ST021256,5
ST021257,5
ST021258,5
ST021259,5
ST022250,4
ST022251,4
ST022252,4
ST022253,4
ST022254,4+5
ST022255,5
ST022256,5
ST022257,5
ST022258,5
ST022259,5
ST023250,4
ST023251,4
ST023252,4
ST023253,4+5
ST023254,4+5
ST023255,5
ST023256,5
ST023257,5
ST023258,5
ST023259,5
ST024250,4
ST024251,4
ST024252,4
ST024253,4
ST024254,4+5
ST024255,5
ST024256,5
ST024257,5
ST024258,5
ST024259,5
ST025250,4
ST025251,4
ST025252,4
ST025253,4
ST025254,4+5
ST025255,5
ST025256,5
ST025257,5
ST025258,5
ST025259,5
ST026250,4
ST026251,4
ST026252,4
ST026253,4+5
ST026254,4+5
ST026255,5
ST026256,5
ST026257,5
ST026258,5
ST026259,5
ST027250,4
ST027251,4
ST027252,4
ST027253,4+5
ST027254,5
ST027255,5
ST027256,5
ST027257,5
ST027258,5
ST027259,5
ST028250,4
ST028251,4
ST028252,4
ST028253,4+5
ST028254,5
ST028255,5
ST028256,5
ST028257,5
ST028258,5
ST028259,5
ST029250,4
ST029251,4
ST029252,4
ST029253,4+5
ST029254,5
ST029255,5
ST029256,5
ST029257,5
ST029258,5
ST029259,5
ST0324,4+5
ST030240,4
ST030241,4
ST030242,4
ST030243,4
ST030244,4
ST030245,4
ST030246,4
ST030247,4
ST030248,4
ST030249,4
ST031240,4
ST031241,4
ST031242,4
ST031243,4
ST031244,4
ST031245,4
ST031246,4
ST031247,4
ST031248,4
ST031249,4
ST032240,4+5
ST032241,4+5
ST032242,4+5
ST032243,4+5
ST032244,4+5
ST032245,4+5
ST032246,4+5
ST032247,4+5
ST032248,4+5
ST032249,4
ST033240,5
ST033241,5
ST033242,5
ST033243,5
ST033244,5
ST033245,5
ST033246,5
ST033247,5
ST033248,4+5
ST033249,4+5
ST034240,5
ST034241,5
ST034242,5
ST034243,5
ST034244,5
ST034245,5
ST034246,5
ST034247,5
ST034248,5
ST034249,5
ST035240,5
ST035241,5
ST035242,5
ST035243,5
ST035244,5
ST035245,5
ST035246,5
ST035247,5
ST035248,5
ST035249,5
ST036240,5
ST036241,5
ST036242,5
ST036243,5
ST036244,5
ST036245,5
ST036246,5
ST036247,5
ST036248,5
ST036249,5
ST037240,5
ST037241,5
ST037242,5
ST037243,5
ST037244,5
ST037245,5
ST037246,5
ST037247,5
ST037248,5
ST037249,5
ST038240,5
ST038241,5
ST038242,5
ST038243,5
ST038244,5
ST038245,5
ST038246,5
ST038247,5
ST038248,5
ST038249,5
ST039240,5
ST039241,5
ST039242,5
ST039243,5
ST039244,5
ST039245,5
ST039246,5
ST039247,5
ST039248,5
ST039249,5
ST0325,4+5
ST030250,4
ST030251,4
ST030252,4+5
ST030253,4+5
ST030254,5
ST030255,5
ST030256,5
ST030257,5
ST030258,5
ST030259,5
ST031250,4
ST031251,4
ST031252,4+5
ST031253,5
ST031254,5
ST031255,5
ST031256,5
ST031257,5
ST031258,5
ST031259,5
ST032250,4
ST032251,4+5
ST032252,4+5
ST032253,5
ST032254,5
ST032255,5
ST032256,5
ST032257,5
ST032258,5
ST032259,5
ST033250,4+5
ST033251,4+5
ST033252,5
ST033253,5
ST033254,5
ST033255,5
ST033256,5
ST033257,5
ST033258,5
ST033259,5
ST034250,5
ST034251,5
ST034252,5
ST034253,5
ST034254,5
ST034255,5
ST034256,5
ST034257,5
ST034258,5
ST034259,5
ST035250,5
ST035251,5
ST035252,5
ST035253,5
ST035254,5
ST035255,5
ST035256,5
ST035257,5
ST035258,5
ST035259,5
ST036250,5
ST036251,5
ST036252,5
ST036253,5
ST036254,5
ST036255,5
ST036256,5
ST036257,5
ST036258,5
ST036259,5
ST037250,5
ST037251,5
ST037252,5
ST037253,5
ST037254,5
ST037255,5
ST037256,5
ST037257,5
ST037258,5
ST037259,5
ST038250,5
ST038251,5
ST038252,5
ST038253,5
ST038254,5
ST038255,5
ST038256,5
ST038257,5
ST038258,5
ST038259,5
ST039250,5
ST039251,5
ST039252,5
ST039253,5
ST039254,5
ST039255,5
ST039256,5
ST039257,5
ST039258,5
ST039259,5
ST02I,5
ST02J,5
ST02K,4+5
ST0420,4+5
ST040200,4
ST040201,4
ST040202,4
ST040203,4
ST040204,4
ST040205,4
ST040206,4
ST040207,4+5
ST040208,4+5
ST040209,5
ST041200,4
ST041201,4
ST041202,4
ST041203,4
ST041204,4
ST041205,4
ST041206,4
ST041207,4
ST041208,4+5
ST041209,5
ST042200,4
ST042201,4
ST042202,4
ST042203,4
ST042204,4
ST042205,4
ST042206,4
ST042207,4
ST042208,4+5
ST042209,5
ST043200,4
ST043201,4
ST043202,4
ST043203,4
ST043204,4
ST043205,4
ST043206,4
ST043207,4+5
ST043208,4+5
ST043209,5
ST044200,4
ST044201,4
ST044202,4
ST044203,4
ST044204,4
ST044205,4
ST044206,4
ST044207,4+5
ST044208,5
ST044209,5
ST045200,4
ST045201,4
ST045202,4
ST045203,4
ST045204,4
ST045205,4
ST045206,4
ST045207,4+5
ST045208,5
ST045209,5
ST046200,4
ST046201,4
ST046202,4
ST046203,4
ST046204,4
ST046205,4
ST046206,4
ST046207,4+5
ST046208,5
ST046209,5
ST047200,4
ST047201,4
ST047202,4
ST047203,4
ST047204,4
ST047205,4
ST047206,4
ST047207,4+5
ST047208,4+5
ST047209,5
ST048200,4
ST048201,4
ST048202,4
ST048203,4
ST048204,4
ST048205,4
ST048206,4
ST048207,4
ST048208,4+5
ST048209,5
ST049200,4
ST049201,4
ST049202,4
ST049203,4
ST049204,4
ST049205,4
ST049206,4
ST049207,4
ST049208,4+5
ST049209,5
ST0421,5
ST0520,4+5
ST050200,4
ST050201,4
ST050202,4
ST050203,4
ST050204,4
ST050205,4
ST050206,4
ST050207,4
ST050208,4+5
ST050209,5
ST051200,4
ST051201,4
ST051202,4
ST051203,4
ST051204,4
ST051205,4
ST051206,4
ST051207,4
ST051208,4+5
ST051209,4+5
ST052200,4
ST052201,4
ST052202,4
ST052203,4
ST052204,4
ST052205,4
ST052206,4
ST052207,4
ST052208,4
ST052209,4+5
ST053200,4
ST053201,4
ST053202,4
ST053203,4
ST053204,4
ST053205,4
ST053206,4
ST053207,4
ST053208,4
ST053209,4+5
ST054200,4
ST054201,4
ST054202,4
ST054203,4
ST054204,4
ST054205,4
ST054206,4
ST054207,4
ST054208,4
ST054209,4+5
ST055200,4
ST055201,4
ST055202,4
ST055203,4
ST055204,4
ST055205,4
ST055206,4
ST055207,4
ST055208,4
ST055209,4+5
ST056200,4
ST056201,4
ST056202,4
ST056203,4
ST056204,4
ST056205,4
ST056206,4
ST056207,4
ST056208,4
ST056209,4+5
ST057200,4
ST057201,4
ST057202,4
ST057203,4
ST057204,4
ST057205,4
ST057206,4
ST057207,4
ST057208,4
ST057209,4+5
ST058200,4
ST058201,4
ST058202,4
ST058203,4
ST058204,4
ST058205,4
ST058206,4
ST058207,4
ST058208,4
ST058209,4
ST059200,4
ST059201,4
ST059202,4
ST059203,4
ST059204,4
ST059205,4
ST059206,4
ST059207,4
ST059208,4
ST059209,4
ST0521,4+5
ST050210,5
ST050211,5
ST050212,5
ST050213,5
ST050214,5
ST050215,5
ST050216,5
ST050217,5
ST050218,5
ST050219,5
ST051210,5
ST051211,5
ST051212,5
ST051213,5
ST051214,5
ST051215,5
ST051216,5
ST051217,5
ST051218,5
ST051219,5
ST052210,5
ST052211,5
ST052212,5
ST052213,5
ST052214,5
ST052215,5
ST052216,5
ST052217,5
ST052218,5
ST052219,5
ST053210,5
ST053211,5
ST053212,5
ST053213,5
ST053214,5
ST053215,5
ST053216,5
ST053217,5
ST053218,5
ST053219,5
ST054210,5
ST054211,5
ST054212,5
ST054213,5
ST054214,5
ST054215,5
ST054216,5
ST054217,5
ST054218,5
ST054219,5
ST055210,5
ST055211,5
ST055212,5
ST055213,5
ST055214,5
ST055215,5
ST055216,5
ST055217,5
ST055218,5
ST055219,5
ST056210,5
ST056211,5
ST056212,5
ST056213,5
ST056214,5
ST056215,5
ST056216,5
ST056217,5
ST056218,5
ST056219,5
ST057210,4+5
ST057211,5
ST057212,5
ST057213,5
ST057214,5
ST057215,5
ST057216,5
ST057217,5
ST057218,5
ST057219,5
ST058210,4+5
ST058211,5
ST058212,5
ST058213,5
ST058214,5
ST058215,5
ST058216,5
ST058217,5
ST058218,5
ST058219,5
ST059210,4+5
ST059211,5
ST059212,5
ST059213,5
ST059214,5
ST059215,5
ST059216,5
ST059217,5
ST059218,5
ST059219,5
ST02L,5
ST02M,5
ST02N,5
ST02P,5
ST02Q,4+5
ST0620,4+5
ST060200,4
ST060201,4
ST060202,4
ST060203,4
ST060204,4
ST060205,4
ST060206,4
ST060207,4
ST060208,4
ST060209,4
ST061200,4
ST061201,4
ST061202,4
ST061203,4
ST061204,4
ST061205,4
ST061206,4
ST061207,4
ST061208,4
ST061209,4
ST062200,4
ST062201,4
ST062202,4
ST062203,4
ST062204,4
ST062205,4
ST062206,4
ST062207,4
ST062208,4
ST062209,4
ST063200,4
ST063201,4
ST063202,4
ST063203,4
ST063204,4
ST063205,4
ST063206,4
ST063207,4
ST063208,4
ST063209,4
ST064200,4
ST064201,4
ST064202,4
ST064203,4
ST064204,4
ST064205,4
ST064206,4
ST064207,4
ST064208,4
ST064209,4
ST065200,4
ST065201,4
ST065202,4
ST065203,4
ST065204,4
ST065205,4
ST065206,4
ST065207,4
ST065208,4
ST065209,4
ST066200,4
ST066201,4
ST066202,4
ST066203,4
ST066204,4
ST066205,4
ST066206,4
ST066207,4
ST066208,4
ST066209,4
ST067200,4
ST067201,4
ST067202,4
ST067203,4
ST067204,4
ST067205,4
ST067206,4
ST067207,4
ST067208,4
ST067209,4+5
ST068200,4
ST068201,4
ST068202,4
ST068203,4
ST068204,4
ST068205,4
ST068206,4
ST068207,4
ST068208,4+5
ST068209,4+5
ST069200,4
ST069201,4
ST069202,4
ST069203,4
ST069204,4
ST069205,4
ST069206,4
ST069207,4
ST069208,4+5
ST069209,5
ST0621,4+5
ST060210,4+5
ST060211,5
ST060212,5
ST060213,5
ST060214,5
ST060215,5
ST060216,5
ST060217,5
ST060218,5
ST060219,5
ST061210,4+5
ST061211,4+5
ST061212,5
ST061213,5
ST061214,5
ST061215,5
ST061216,5
ST061217,5
ST061218,5
ST061219,5
ST062210,4
ST062211,4+5
ST062212,5
ST062213,5
ST062214,5
ST062215,5
ST062216,5
ST062217,5
ST062218,5
ST062219,5
ST063210,4
ST063211,4+5
ST063212,4+5
ST063213,5
ST063214,5
ST063215,5
ST063216,5
ST063217,5
ST063218,5
ST063219,5
ST064210,4
ST064211,4
ST064212,4+5
ST064213,5
ST064214,5
ST064215,5
ST064216,5
ST064217,5
ST064218,5
ST064219,5
ST065210,4
ST065211,4+5
ST065212,4+5
ST065213,5
ST065214,5
ST065215,5
ST065216,5
ST065217,5
ST065218,5
ST065219,5
ST066210,4+5
ST066211,4+5
ST066212,5
ST066213,5
ST066214,5
ST066215,5
ST066216,5
ST066217,5
ST066218,5
ST066219,5
ST067210,4+5
ST067211,5
ST067212,5
ST067213,5
ST067214,5
ST067215,5
ST067216,5
ST067217,5
ST067218,5
ST067219,5
ST068210,5
ST068211,5
ST068212,5
ST068213,5
ST068214,5
ST068215,5
ST068216,5
ST068217,5
ST068218,5
ST068219,5
ST069210,5
ST069211,5
ST069212,5
ST069213,5
ST069214,5
ST069215,5
ST069216,5
ST069217,5
ST069218,5
ST069219,5
ST0720,4+5
ST070200,4
ST070201,4
ST070202,4
ST070203,4
ST070204,4
ST070205,4
ST070206,4
ST070207,4+5
ST070208,4+5
ST070209,5
ST071200,4
ST071201,4
ST071202,4+5
ST071203,4+5
ST071204,4+5
ST071205,4+5
ST071206,4+5
ST071207,4+5
ST071208,5
ST071209,5
ST072200,4
ST072201,4+5
ST072202,4+5
ST072203,4+5
ST072204,4+5
ST072205,4+5
ST072206,4+5
ST072207,5
ST072208,5
ST072209,5
ST073200,4+5
ST073201,4+5
ST073202,5
ST073203,5
ST073204,5
ST073205,5
ST073206,5
ST073207,5
ST073208,5
ST073209,5
ST074200,5
ST074201,5
ST074202,5
ST074203,5
ST074204,5
ST074205,5
ST074206,5
ST074207,5
ST074208,5
ST074209,5
ST075200,5
ST075201,5
ST075202,5
ST075203,5
ST075204,5
ST075205,5
ST075206,5
ST075207,5
ST075208,5
ST075209,5
ST076200,5
ST076201,5
ST076202,5
ST076203,5
ST076204,5
ST076205,5
ST076206,5
ST076207,5
ST076208,5
ST076209,5
ST077200,5
ST077201,5
ST077202,5
ST077203,5
ST077204,5
ST077205,5
ST077206,5
ST077207,5
ST077208,5
ST077209,5
ST078200,5
ST078201,5
ST078202,5
ST078203,5
ST078204,5
ST078205,5
ST078206,5
ST078207,5
ST078208,5
ST078209,5
ST079200,5
ST079201,5
ST079202,5
ST079203,5
ST079204,5
ST079205,5
ST079206,5
ST079207,5
ST079208,5
ST079209,5
ST0721,5
ST02R,5
ST02S,5
ST02T,5
ST02U,5
ST02V,5
ST02W,5
ST02X,5
ST02Y,5
ST02Z,5
ST03,5
ST04,0+5
ST04SW,0+5
ST04NW,0+5
ST04SE,0+5
ST04NE,0
ST04A,5
ST04B,5
ST04C,0+5
ST0044,5
ST0045,0+5
ST000450,5
ST000451,5
ST000452,5
ST000453,5
ST000454,5
ST000455,5
ST000456,5
ST000457,5
ST000458,5
ST000459,5
ST001450,5
ST001451,5
ST001452,5
ST001453,5
ST001454,5
ST001455,5
ST001456,5
ST001457,5
ST001458,5
ST001459,5
ST002450,5
ST002451,5
ST002452,5
ST002453,5
ST002454,5
ST002455,5
ST002456,5
ST002457,5
ST002458,5
ST002459,5
ST003450,5
ST003451,5
ST003452,5
ST003453,5
ST003454,5
ST003455,5
ST003456,5
ST003457,5
ST003458,5
ST003459,0+5
ST004450,5
ST004451,5
ST004452,5
ST004453,5
ST004454,5
ST004455,5
ST004456,5
ST004457,5
ST004458,5
ST004459,0+5
ST005450,5
ST005451,5
ST005452,5
ST005453,5
ST005454,5
ST005455,5
ST005456,5
ST005457,5
ST005458,0+5
ST005459,0+5
ST006450,5
ST006451,5
ST006452,5
ST006453,5
ST006454,5
ST006455,5
ST006456,0+5
ST006457,0+5
ST006458,0+5
ST006459,0
ST007450,5
ST007451,5
ST007452,5
ST007453,5
ST007454,0+5
ST007455,0+5
ST007456,0+5
ST007457,0+5
ST007458,0
ST007459,0
ST008450,5
ST008451,5
ST008452,5
ST008453,0+5
ST008454,0+5
ST008455,0
ST008456,0
ST008457,0
ST008458,0
ST008459,0
ST009450,5
ST009451,0+5
ST009452,0+5
ST009453,0+5
ST009454,0+5
ST009455,0
ST009456,0
ST009457,0
ST009458,0
ST009459,0
ST0144,0+5
